item_id,brand,corner,category,price
P4215770010000,아니베에프,캐리어캐쥬얼,영캐릭터캐쥬얼,89000
P4203160010020,마인,캐릭터캐쥬얼,영캐릭터캐쥬얼,41600
P4114720108200,보땅도도,패션잡화,영캐릭터캐쥬얼,33000
P4100322005910,미알토탈,토탈,핸드백,175500
P4105200004010,MCM,핸드백,핸드백,215100
P4123550108300,랑케스타,패션잡화,영캐릭터캐쥬얼,104000
P4217440010000,미샤,캐릭터캐쥬얼,영캐릭터캐쥬얼,55000
P4200350013100,비너스,란제리,미씨캐릭터,55000
P4100832010000,버버리,엘레강스부틱,로얄부틱,430000
P6137950009900,불가리,수입의류,명품토탈,2000000
P4221430010000,안지크,엘레강스,엘레강스캐쥬얼,438000
P4129680006670,로즈데이,헤어악세사리,악세사리,26000
P4116190000478,나라머플러(끌라우디오부띠),머플러,섬유,25000
P4413190022920,베비라,유아복,유아/완구,20000
P4100830008000,라프레리,수입종합화장품,화장품,120000
P4218730113076,레지나,미확인코너,미씨캐릭터,49000
P4200350113100,비너스,미확인코너,디자이너부틱,118000
P4208200113075,제임스딘.P,패션란제리,소품,10000
P4544620042120,리빙센스,주방용품,식기,26400
P4100560001120,비너스스타킹,스타킹,섬유,12800
P4400280024971,NUK,미확인코너,아동,13500
P4414660020400,선재향,유아,아동,57000
P4309170019972,라일앤스콧,트레디셔널캐주얼,트래디셔널,40000
P4417760020030,에꼴리에,아동,아동,29400
P4401440022970,무냐무냐,미확인코너,아동,11000
P4524460048100,레고,완구,유아/완구,22000
P4522520043020,거산/제디,용기보증,미확인pc,16900
P4414660020472,선재향,용기보증,미확인pc,47100
P4300460019910,까르뜨브랑슈,트레디셔널캐주얼,트래디셔널,89100
P4402480025000,PGA투어,골프웨어,골프,48000
P4218910015075,비비안,란제리,타운란제리,11500
P4234630013074,쿠가이,영커리어캐주얼,어덜트캐주얼,39000
P4107320001176,월비스타킹,스타킹,섬유,19000
P4141730002980,쥬트모피소품,머플러,섬유,140000
P4109162008000,지방시화장품,수입종합화장품,화장품,45000
P4119028004020,파코라반핸드백,핸드백,피혁B,36000
P4244530026274,그림,진캐주얼,진캐주얼,15000
P4135480003276,고세,싸롱화,피혁A,69000
P4544630048100,손오공,완구,문화,20000
P4510500048400,영실업,완구,문화,23000
P4407071026000,후부,진캐쥬얼,진캐주얼,150000
P4417990026000,베이직,진캐쥬얼,진캐주얼,329000
P4407071026010,후부,진캐쥬얼,진캐주얼,107100
P4504940939001,필립스,소형취사가전,가전,68400
P4502160932001,삼성,TV.VTR,가전,465000
P4500590441400,길무역/수입도자기,수입도자기,식기,46000
P4512320041000,스바로브스키,크리스탈,식기,155000
P4101030000300,창조스카프,스카프,섬유,59000
P4130490001900,현대우양산,우산장갑,섬유,20000
P4230120011210,스테파넬,영트랜드,영트렌디,266400
P4120540009120,은하선글라스,썬그라스,섬유잡화,200000
P4139980004020,로만손,핸드백,핸드백,55200
P6318130019900,미소니,수입,정장,235000
P4229811011200,시슬리,영트랜드,영트렌디,109000
P6300031019900,갤럭시/카디날,내셔날,정장,280000
P4505170041475,한길통상,수입도자기,식기,179000
P4532220043000,US아크릴,욕실용품,식기,14000
P4530030944270,상원산업,식탁/소품,가구,85000
P4550900939001,브라운,취사소형,가전,45200
P4505170042120,한길통상,주방용품,식기,20800
P4405621020000,지오다노쥬니어,아동,아동,42600
P4400040020000,모다까리나,아동,아동,568000
P4536320041900,로얄코펜하겐,수입도자기,식기,84000
P4131800006000,보석인,준보석,악세사리,46000
P4517690944100,대진침대,전문가구(가구),가구,368420
P6132210106075,탐라쥬얼리,보석,장신구,320000
P2116053008000,바비브라운,수입종합화장품,화장품,30000
P4219040011220,O.Z.O.C,영트랜드,영트렌디,-21300
P4138430003984,쟈크벨구두,피혁A행사,남여구두,59000
P4218910013500,비비안,란제리,내의란제리,29500
P4200640013500,와코루,란제리,내의란제리,155000
P4202290010020,데미안,엘레강스캐주얼,미씨캐주얼,316800
P4202290010000,데미안,엘레강스캐주얼,미씨캐주얼,226000
P4234990013074,메키,단품,수입명품,79000
P4217150010000,이브리오,단품,수입명품,128000
P4234990010000,메키,단품,수입명품,79000
P4550860042074,이가/프라보스크,주방용품,식기,99900
P4226940010030,애티튜드,디자이너캐릭터,미씨캐주얼,419300
P4508720143920,삼운/브로니,욕실용품,식기,9600
P4107320001120,월비스타킹,스타킹,섬유잡화,5600
P4124530006620,아로마,헤어ACC,장신구,120000
P4124530006670,아로마,헤어ACC,장신구,25000
P4501093043330,덕흥/송월,욕실용품,식기,7560
P4125900006600,쟝폴클라리쎄,헤어ACC,장신구,235000
P4400213022300,압소바,유아복,아동복,101000
P4131400008000,오휘,국내화장품,화장품,48000
P4550410939001,엘지,취사소형,가전,135000
P4550410939000,엘지,취사소형,가전,-135000
P4125450003000,엘레강스구두,드레스구두,남여구두,334000
P4303052019900,켄콜렉션,트래디셔널,트레디셔널,118000
P4139730003100,마리오파죠티,캐쥬얼구두,남여구두,130000
P4110710003200,휀시구두,드레스구두,남여구두,150000
P4217340013100,트라이엄프,란제리,내의란제리,274000
P4116430003600,락포트,수입구두,남여구두,670000
P4303052019972,켄콜렉션,트래디셔널,트레디셔널,84000
P4109161008000,겔랑,수입종합화장품,화장품,361000
P4406260022973,아가방,유아복,아동복,19000
P4131710003000,닥스구두,드레스구두,남여구두,298000
P4303052019910,켄콜렉션,트래디셔널,트레디셔널,710000
P4139730003171,마리오파죠티,드레스구두,남여구두,100000
P4300251019972,파코라반,캐릭터캐주얼,캐릭터정장,133000
P4116900003200,사보,캐쥬얼구두,남여구두,140000
P4209563011200,SJ,영트랜드,영트렌디,149000
P4141530003010,엘레강스,드레스구두,남여구두,333000
P4119290008000,가네보,수입종합화장품,화장품,94000
P4226400010000,폭스레이디,니트웨어,수입명품,479000
P4234520013074,유니트,단품,소품,67000
P4414330029900,이스트팩,스포츠용품,스포츠,42000
P6137790008000,바디,화장품,소품,19900
P4418211028400,나이키슈즈,스포츠슈즈,스포츠,119000
P4241210026274,오레노,단품,소품,17000
P4103322805900,놈,피혁토탈(B2),소품,29000
P4218390010000,로제르,단품,타운란제리,167000
P4309200019970,워모,캐릭터,캐주얼,200000
P6135460003000,랜드로바현금,NB제화,피혁A,93000
P4400700027053,아디다스의류,스포츠웨어,스포츠,126000
P4117540006070,프라임,준보석,장신구,156000
P4418211028410,나이키슈즈,스포츠슈즈,스포츠,83700
P4300856019971,예작,셔츠,셔츠,60000
P4312950019900,카일리쉬,행사/단품,캐쥬얼,59000
P4404660026000,리,진캐쥬얼,진캐주얼,69000
