my_id,유형
A073260,무면허
A037599,무면허
A004172,무면허
A022067,무면허
A050846,무면허
A032709,무면허
A021473,무면허
A025167,무면허
A044988,무면허
A001330,무면허
A026124,무면허
A002030,무면허
A036502,무면허
A004242,무면허
A029057,무면허
A050194,무면허
A012871,무면허
A067231,무면허
A005319,무면허
A046328,무면허
A026692,무면허
A070950,무면허
A002408,무면허
A016041,무면허
A026914,무면허
A052525,무면허
A008110,무면허
A026193,무면허
A041971,무면허
A053196,무면허
A025273,무면허
A041914,무면허
A066183,무면허
A027736,무면허
A035649,무면허
A053920,무면허
A052723,무면허
A010780,무면허
A013446,무면허
A069011,무면허
A006542,무면허
A026767,무면허
A057995,무면허
A050312,무면허
A000027,무면허
A065339,무면허
A055842,무면허
A045525,무면허
A011829,무면허
A032324,무면허
A014665,무면허
A061305,무면허
A030330,무면허
A020694,무면허
A054435,무면허
A051062,무면허
A041978,무면허
A071786,무면허
A024568,무면허
A058953,무면허
A070948,무면허
A012304,무면허
A066474,무면허
A028506,무면허
A027053,무면허
A029950,무면허
A042733,무면허
A001019,무면허
A050579,무면허
A053582,무면허
A032853,무면허
A008050,무면허
A041819,무면허
A017972,무면허
A047622,무면허
A054878,무면허
A009483,무면허
A054959,무면허
A034621,무면허
A012424,무면허
A012903,무면허
A055861,무면허
A038611,무면허
A040087,무면허
A035221,무면허
A062384,무면허
A006013,무면허
A022290,무면허
A065847,무면허
A058100,무면허
A038334,무면허
A052725,무면허
A020139,무면허
A013701,무면허
A043094,무면허
A007163,무면허
A074300,무면허
A069470,무면허
A050496,무면허
A001454,무면허
A045721,무면허
A005860,무면허
A011543,무면허
A031555,무면허
A050268,무면허
A027328,무면허
A055722,무면허
A018955,무면허
A066953,무면허
A036388,무면허
A037320,무면허
A032893,무면허
A014291,무면허
A043567,무면허
A047514,무면허
A021509,무면허
A002264,무면허
A006331,무면허
A047301,무면허
A066044,무면허
A038660,무면허
A019525,무면허
A047633,무면허
A006866,무면허
A042013,무면허
A057936,무면허
A004577,무면허
A068555,무면허
A056140,무면허
A040680,무면허
A053189,무면허
A045942,무면허
A069118,무면허
A060277,무면허
A051651,무면허
A044392,무면허
A071627,무면허
A019343,무면허
A070964,무면허
A039897,무면허
A032617,무면허
A066658,무면허
A059227,무면허
A063003,무면허
A056851,무면허
A058650,무면허
A030906,무면허
A071073,무면허
A016004,무면허
A065506,무면허
A058388,무면허
A046695,무면허
A071909,무면허
A036032,무면허
A065784,무면허
A066916,무면허
A054582,무면허
A009657,무면허
A065682,무면허
A009149,무면허
A006545,무면허
A056560,무면허
A009331,무면허
A044554,무면허
A015969,무면허
A020795,무면허
A038873,무면허
A072221,무면허
A056453,무면허
A067880,무면허
A064071,무면허
A016870,무면허
A029688,무면허
A065787,무면허
A065260,무면허
A037970,무면허
A025554,무면허
A064703,무면허
A037114,무면허
A018476,무면허
A028992,무면허
A063717,무면허
A020079,무면허
A045226,무면허
A038616,무면허
A057945,무면허
A002313,무면허
A060495,무면허
A008104,무면허
A073240,무면허
A026822,무면허
A047056,무면허
A047863,무면허
A024432,무면허
A032949,무면허
A059411,무면허
A040776,무면허
A044761,무면허
A002174,무면허
A014746,무면허
A063600,무면허
A019884,무면허
A037369,무면허
A064606,무면허
A064090,무면허
A010257,무면허
A060273,무면허
A041436,무면허
A057021,무면허
A055174,무면허
A030470,무면허
A040512,무면허
A041764,무면허
A011129,무면허
A029593,무면허
A063968,무면허
A001052,무면허
A073759,무면허
A004787,무면허
A044524,무면허
A047915,무면허
A008942,무면허
A000554,무면허
A055521,무면허
A017793,무면허
A026018,무면허
A040872,무면허
A017447,무면허
A027731,무면허
A009536,무면허
A013877,무면허
A039093,무면허
A011990,무면허
A052134,무면허
A005240,무면허
A004106,무면허
A068246,무면허
A059808,무면허
A024200,무면허
A044567,무면허
A006229,무면허
A016299,무면허
A016632,무면허
A064584,무면허
A057668,무면허
A041919,무면허
A001040,무면허
A020890,무면허
A034588,무면허
A025531,무면허
A018388,무면허
A045515,무면허
A019336,무면허
A071204,무면허
A019995,무면허
A020944,무면허
A052848,무면허
A068893,무면허
A000830,무면허
A071975,무면허
A066966,무면허
A068725,무면허
A047803,무면허
A015260,무면허
A016298,무면허
A004436,무면허
A016998,무면허
A018493,무면허
A045505,무면허
A002344,무면허
A006813,무면허
A016310,무면허
A043435,무면허
A021880,무면허
A007083,무면허
A021856,무면허
A064713,무면허
A011940,무면허
A018954,무면허
A032035,무면허
A008291,무면허
A055612,무면허
A018156,무면허
A000823,무면허
A008119,무면허
A021013,무면허
A036657,무면허
A033891,무면허
A034642,무면허
A065883,무면허
A016525,무면허
A016580,무면허
A013917,무면허
A045766,무면허
A038935,무면허
A008465,무면허
A011444,무면허
A056011,무면허
A025268,무면허
A033648,무면허
A044710,무면허
A025539,무면허
A010754,무면허
A069997,무면허
A005374,무면허
A072617,무면허
A048499,무면허
A013920,무면허
A041946,무면허
A009453,무면허
A013698,무면허
A010288,무면허
A041680,무면허
A020274,무면허
A050140,무면허
A025952,무면허
A036995,무면허
A065557,무면허
A034820,무면허
A045681,무면허
A029653,무면허
A064243,무면허
A010393,무면허
A011696,무면허
A065313,무면허
A035760,무면허
A073285,무면허
A042539,무면허
A024219,무면허
A004769,무면허
A008597,무면허
A064612,무면허
A021649,무면허
A019813,무면허
A053906,무면허
A062346,무면허
A018184,무면허
A022017,무면허
A052555,무면허
A028624,무면허
A066737,무면허
A016015,무면허
A021229,무면허
A047375,무면허
A060977,무면허
A046311,무면허
A042732,무면허
A007262,무면허
A020179,무면허
A011272,무면허
