artist_id,name,followers,popularity,url,image_url
1h8YIw9HLr6E8gdXVDRbVJ,Big Country,213552,46,https://open.spotify.com/artist/1h8YIw9HLr6E8gdXVDRbVJ,https://i.scdn.co/image/9da85bf614f13433da4c789d13e815f664430809
3UvcmAOZt64oKpP95f6MMM,Big Star,133585,45,https://open.spotify.com/artist/3UvcmAOZt64oKpP95f6MMM,https://i.scdn.co/image/f14be5a9d0ae296706b8b46f39b4b5d8e8c34da3
4jXfFzeP66Zy67HM2mvIIF,Bill Evans,575599,61,https://open.spotify.com/artist/4jXfFzeP66Zy67HM2mvIIF,https://i.scdn.co/image/427eff99088d2a1be072a012f04e2406ee7cc24b
1YzCsTRb22dQkh9lghPIrp,Billie Holiday,1661818,65,https://open.spotify.com/artist/1YzCsTRb22dQkh9lghPIrp,https://i.scdn.co/image/4efa6b6871a0f672b78b3d16fd5a03c6cd212d58
1By9QBFnjZAoI83BZppHlt,Billy Currington,2425713,65,https://open.spotify.com/artist/1By9QBFnjZAoI83BZppHlt,https://i.scdn.co/image/b54b36596d1511fd262e8e60445689624cd1adca
7rtLZcKWGV4eaZsBwSKimf,Billy Fury,45886,42,https://open.spotify.com/artist/7rtLZcKWGV4eaZsBwSKimf,https://i.scdn.co/image/ab67616d0000b2734a1de3ce084f022f9017ccb2
0IecGJbdBeYSOVtSPRehh5,Billy Preston,99570,51,https://open.spotify.com/artist/0IecGJbdBeYSOVtSPRehh5,https://i.scdn.co/image/49bc10d9841773e35824e64018df6bcffe20be8b
7w29UYBi0qsHi5RTcv3lmA,Björk,1669034,63,https://open.spotify.com/artist/7w29UYBi0qsHi5RTcv3lmA,https://i.scdn.co/image/ab6761610000e5ebaeb5c04fdd8ec6273850d207
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,6980722,80,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,https://i.scdn.co/image/ab6761610000e5ebabab30b094128cf4c0f2cef1
5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,6501842,72,https://open.spotify.com/artist/5M52tdBnJaKSvOpJGz8mfZ,https://i.scdn.co/image/5931700f9515dd6587230130beb615e0549e47dc
5keeQyPKYRxUCKDMECTXG3,Black Uhuru,328248,44,https://open.spotify.com/artist/5keeQyPKYRxUCKDMECTXG3,https://i.scdn.co/image/ab6761610000e5eb5444325144ecc7fc7649fd91
5GUVj2b1lJ4DolQyHlzyaO,Blind Faith,346584,46,https://open.spotify.com/artist/5GUVj2b1lJ4DolQyHlzyaO,https://i.scdn.co/image/7cb47aa5aba19de14aef71b7b55bdd391a199800
6FBDaR13swtiWwGhX1WQsP,blink-182,7247776,79,https://open.spotify.com/artist/6FBDaR13swtiWwGhX1WQsP,https://i.scdn.co/image/ab6761610000e5eb33639aaeecfcc5ebada97476
4tpUmLEVLCGFr93o8hFFIB,Blondie,1172428,68,https://open.spotify.com/artist/4tpUmLEVLCGFr93o8hFFIB,https://i.scdn.co/image/ab6761610000e5eb67dc4da82c968767d994f3c3
4PI5IHRvANLL76O5gRmGKL,Blue Cheer,59605,33,https://open.spotify.com/artist/4PI5IHRvANLL76O5gRmGKL,https://i.scdn.co/image/661cf1bec0ec058c2953bfc2e9a30ede162c8c0e
2bmixwMZXlkl2sbIbOfviq,Bo Diddley,290123,46,https://open.spotify.com/artist/2bmixwMZXlkl2sbIbOfviq,https://i.scdn.co/image/3c116fa8059a519a653f242c7e14feb43a4186d0
74ASZWbe4lXaubB36ztrGX,Bob Dylan,5831632,70,https://open.spotify.com/artist/74ASZWbe4lXaubB36ztrGX,https://i.scdn.co/image/ab6772690000c46cf79ca05dcc1581c712bf3658
2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers,10968167,76,https://open.spotify.com/artist/2QsynagSdAqZj3U9HgDzjD,https://i.scdn.co/image/b5aae2067db80f694a980e596e7f49618c1206c9
58lV9VcRSjABbAbfWS6skp,Bon Jovi,11370973,76,https://open.spotify.com/artist/58lV9VcRSjABbAbfWS6skp,https://i.scdn.co/image/ab6761610000e5eb0b8d424042d51bb8ee412ffe
4KDyYWR7IpxZ7xrdYbKrqY,Bonnie Raitt,582672,58,https://open.spotify.com/artist/4KDyYWR7IpxZ7xrdYbKrqY,https://i.scdn.co/image/ab6761610000e5ebe86f788af4e127154da1257f
