STU_ID,X1SEX,X1RACE,X1STDOB,X1TXMTH,X1TXMSEM,X1TXMSCR,X1TXMTSCOR,X1TXMPROF1,X1TXMPROF2,X1TXMPROF3,X1TXMPROF4,X1TXMPROF5,X1PAR1EDU,X1PAR1EMP,X1PAR1OCC2,X1PAR1RACE,X1P2RELATION,X1PAR2EDU,X1PAR2OCC2,X1PAREDU,X1PARPATTERN,X1MOMEDU,X1MOMEMP,X1MOMOCC2,X1MOMRACE,X1DADEDU,X1DADOCC2,X1HHNUMBER,X1FAMINCOME,X1SES,X1SESQ5,X1SES_U,X1SESQ5_U,X1MTHID,X1MTHUTI,X1MTHEFF,X1MTHINT,X1SCIID,X1SCIUTI,X1SCIEFF,X1SCIINT,X1SCHOOLBEL,X1SCHOOLENG,X1STUEDEXPCT,X1PAREDEXPCT,X1TMLINK,X1TMCRSLINK,X1TMCOMM,X1TMEFF,X1TMEXP,X1TMPRINC,X1TMRESP,X1TSLINK,X1TSCRSLINK,X1TSCOMM,X1TSEFF,X1TSEXP,X1TSPRINC,X1TSRESP,X1LOCALE,X1REGION,X1SCHOOLCLI,X1COUPERTEA,X1COUPERCOU,X1COUPERPRI,X1AQSTAT,birthyear,birthmonth,X1STU30OCC2
22056,2,8,199502.0,-0.1973,0.2993,37.2855,48.7026,0.9805,0.6005,0.2187,0.0631,0.0524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7002,5,0.7014,5,0.6,-0.3,-1.02,0.49,0.91,0.1,0.25,0.82,-0.39,-0.09,11,0.0,8,8,-0.03,0.2,0.3,-0.11,-0.13,1,1,-0.1,-0.25,1.02,-0.13,-0.13,2,2,-0.89,0.32,-0.69,-0.55,1,5,2,13
22057,2,3,199501.0,-0.3084,0.2751,35.608,47.5485,0.9699,0.5095,0.1719,0.0577,0.0511,3.0,4.0,43.0,6.0,2.0,2.0,47.0,3.0,4.0,3.0,4.0,43.0,6.0,2.0,47.0,4.0,3.0,-0.3453,2,-0.4466,2,-0.57,1.31,0.1,0.51,-1.57,0.66,0.25,0.16,1.26,-1.02,6,6.0,1,1,-1.28,-0.08,-1.07,-0.85,-1.16,8,8,0.01,0.17,0.16,-0.13,-0.13,2,4,-1.89,-1.79,-1.5,1.1,1,5,1,12
22059,2,8,199411.0,1.505,0.2214,58.4289,66.3743,1.0,0.9954,0.9933,0.7915,0.282,4.0,4.0,43.0,8.0,2.0,4.0,11.0,4.0,1.0,4.0,4.0,43.0,8.0,4.0,11.0,4.0,9.0,0.7195,5,0.6031,5,0.6,-1.33,0.55,0.57,-0.33,-0.47,0.25,0.16,1.0,0.71,10,8.0,1,1,0.37,0.23,1.29,0.81,1.7,1,1,1.46,2.03,0.82,0.69,1.74,2,2,1.74,-0.07,1.15,1.1,1,4,11,4
22066,1,8,199410.0,0.8772,0.2968,51.0508,59.8565,0.9998,0.9709,0.9133,0.3423,0.1072,2.0,4.0,41.0,8.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,2.0,41.0,2.0,3.0,-0.6714,2,-0.5613,2,-0.57,-0.93,-1.0,-0.18,-0.33,0.66,-0.07,-0.67,-1.38,-1.18,11,6.0,1,1,-1.71,-1.28,0.1,1.35,1.32,1,1,-0.29,-2.0,-0.14,0.24,-0.13,3,2,0.48,-0.8,-1.38,-1.11,1,4,10,2
22068,2,6,199401.0,-0.7971,0.3076,28.3431,42.4756,0.833,0.1705,0.0676,0.0447,0.048,3.0,4.0,29.0,3.0,2.0,2.0,53.0,3.0,1.0,3.0,4.0,29.0,3.0,2.0,53.0,7.0,2.0,-0.0037,3,-0.0978,3,0.03,-0.13,0.1,0.19,-0.94,0.1,0.25,0.16,-0.01,-0.07,7,10.0,3,2,0.55,-0.11,-0.92,-0.39,-1.43,3,2,1.54,0.21,0.32,1.48,-0.03,2,3,-0.3,-0.6,0.68,1.1,2,4,1,17
22069,2,8,199411.0,-0.8875,0.1985,27.1691,41.5365,0.7818,0.1381,0.0592,0.0434,0.0477,2.0,3.0,35.0,8.0,2.0,2.0,47.0,2.0,1.0,2.0,3.0,35.0,8.0,2.0,47.0,4.0,5.0,-0.5778,2,-0.5065,2,-0.57,-0.3,0.1,-0.66,0.27,0.1,0.25,-0.23,-0.39,-0.01,10,10.0,1,1,-0.03,0.2,1.29,0.67,-0.13,1,2,-0.32,-0.98,0.76,-0.17,0.22,1,1,1.74,1.27,1.15,0.74,1,4,11,0
22070,2,8,199411.0,-0.1404,0.2666,38.1228,49.2932,0.9844,0.6433,0.2472,0.0664,0.0532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3494,2,-0.3488,2,-0.57,-0.7,-1.41,-0.66,-0.33,0.1,-1.02,-1.07,0.16,0.71,8,0.0,1,1,0.87,-1.83,-0.69,1.48,-0.13,1,8,0.01,0.17,0.16,-0.13,-0.13,4,3,-0.23,-0.8,-1.5,-1.11,1,4,11,4
22071,1,8,199503.0,0.1688,0.2553,42.3601,52.5032,0.9955,0.8189,0.4559,0.0949,0.0595,5.0,4.0,25.0,8.0,1.0,3.0,43.0,5.0,1.0,3.0,4.0,43.0,8.0,5.0,25.0,5.0,4.0,0.6546,5,0.7016,5,1.76,1.31,1.62,0.95,-1.57,-1.32,-0.36,-1.83,0.78,0.25,10,8.0,1,1,1.7,0.52,1.29,-1.94,-2.23,1,1,-0.2,0.36,-0.67,-0.13,-0.13,4,2,0.39,-0.8,-0.36,-0.75,1,5,3,1
22073,2,5,199310.0,0.07,0.2419,41.0611,51.4772,0.9933,0.773,0.3804,0.0834,0.057,3.0,4.0,31.0,5.0,16.0,3.0,17.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.2085,4,0.1014,4,0.6,1.31,0.38,1.02,0.31,1.69,-0.05,0.16,0.67,-2.78,8,10.0,8,8,-0.03,0.2,0.3,-0.11,-0.13,1,1,0.52,-1.11,1.37,0.54,1.92,2,3,-0.31,-1.35,-1.03,0.11,3,3,10,0
22074,2,2,199502.0,0.0726,0.2412,41.0958,51.5041,0.9934,0.7743,0.3822,0.0836,0.0571,5.0,2.0,43.0,2.0,2.0,4.0,53.0,5.0,1.0,5.0,2.0,43.0,2.0,4.0,53.0,3.0,4.0,0.3779,4,0.4098,4,-0.57,-0.7,-0.17,0.19,0.91,-0.33,-0.05,1.26,0.77,1.39,10,10.0,1,2,1.47,1.38,1.29,0.55,1.81,3,8,0.01,0.17,0.16,-0.13,-0.13,1,1,1.76,1.07,0.74,1.1,1,5,2,2
